Country,Zone,Region,Territory,Product Category,Order Priority,Delivery Mode,Processing Time (days),Financial Year,Financial Month,Qty
India,Western,Gujarat,Vadodara,Air Coolers,Low,Road,3,2012,4,43
India,Northern,Delhi,New Delhi,Water Dispensers,High,Air,5,2012,4,55
India,Eastern,Bihar,Gaya,Air Conditioners,High,Air,4,2012,4,42
India,North-Eastern,Assam,Guwahati,Air Conditioners,Medium,Rail,2,2012,4,55
India,Northern,Rajasthan,Udaipur ,Air Conditioners,High,Air,0,2012,4,36
India,Southern,Tamil Nadu,Chennai,Air Coolers,Medium,Rail,3,2012,4,36
India,Northern,Chandigarh,Chandigarh,Air Purifiers,Medium,Rail,2,2012,4,6
India,Central,Uttar Pradesh,Varanasi,Refrigerators,Medium,Rail,2,2012,4,39
India,Eastern,Odisha,Puri ,Refrigerators,Low,Road,3,2012,4,64
India,North-Eastern,Assam,Guwahati,Air Coolers,High,Air,1,2012,4,42
India,Southern,Andhra Pradesh,Vijayawada,Refrigerators,High,Air,0,2012,4,48
India,Western,Gujarat,Vadodara,Refrigerators,Express,Air,0,2012,4,42
India,Southern,Kerala,Thrissur,Air Conditioners,Medium,Rail,1,2012,4,59
India,Western,Maharashtra,Solapur,Refrigerators,Medium,Rail,4,2012,4,68
India,Eastern,West Bengal,Darjiling,Air Conditioners,Express,Air,0,2012,4,74
India,Western,Gujarat,Surat,Water Dispensers,Medium,Rail,3,2012,4,21
India,Southern,Tamil Nadu,Chennai,Air Coolers,Medium,Rail,1,2012,4,61
India,Western,Gujarat,Surat,Air Coolers,Medium,Rail,5,2012,4,11
India,Northern,Haryana,Faridabad,Air Coolers,Express,Air,2,2012,4,77
India,Central,Chhattisgarh,Bilaspur,Air Conditioners,Low,Road,1,2012,4,53
India,Southern,Karnataka,Mangalore,Refrigerators,High,Air,3,2012,4,6
India,Northern,Jammu and Kashmir,Srinagar ,Refrigerators,High,Air,5,2012,4,5
