Row No,Order ID,Invoice Date,Delivery Date,Client Name,Client Category,Credit Period,Credit End Date,Payment Receipt Date
1,IND-2012-104563,2012-04-01,2012-04-07,Customer188,P1,15,2012-04-22,2012-04-19
2,IND-2012-104564,2012-04-01,2012-04-09,Customer152,P4,60,2012-06-08,2012-06-13
3,IND-2012-104565,2012-04-02,2012-04-08,Customer216,P1,15,2012-04-23,2012-04-28
4,IND-2012-104566,2012-04-02,2012-04-09,Customer195,P4,60,2012-06-08,2012-06-05
5,IND-2012-104567,2012-04-03,2012-04-06,Customer186,P3,45,2012-05-21,2012-05-20
6,IND-2012-104568,2012-04-03,2012-04-09,Customer206,P1,15,2012-04-24,2012-04-26
7,IND-2012-104569,2012-04-03,2012-04-08,Customer32,P1,15,2012-04-23,2012-04-18
8,IND-2012-104570,2012-04-04,2012-04-10,Customer89,P1,15,2012-04-25,2012-04-30
9,IND-2012-104571,2012-04-04,2012-04-14,Customer130,P4,60,2012-06-13,2012-06-17
10,IND-2012-104572,2012-04-04,2012-04-08,Customer56,P3,45,2012-05-23,2012-05-27
11,IND-2012-104573,2012-04-05,2012-04-08,Customer108,P2,30,2012-05-08,2012-05-08
12,IND-2012-104574,2012-04-05,2012-04-08,Customer188,P1,15,2012-04-23,2012-04-28
13,IND-2012-104575,2012-04-05,2012-04-11,Customer81,P3,45,2012-05-26,2012-05-30
14,IND-2012-104576,2012-04-06,2012-04-14,Customer48,P1,15,2012-04-29,2012-04-30
15,IND-2012-104577,2012-04-06,2012-04-09,Customer276,P1,15,2012-04-24,2012-04-27
16,IND-2012-104578,2012-04-06,2012-04-12,Customer235,P3,45,2012-05-27,2012-05-22
17,IND-2012-104579,2012-04-07,2012-04-11,Customer157,P4,60,2012-06-10,2012-06-09
18,IND-2012-104580,2012-04-07,2012-04-17,Customer259,P4,60,2012-06-16,2012-06-19
19,IND-2012-104581,2012-04-07,2012-04-12,Customer224,P2,30,2012-05-12,2012-05-16
20,IND-2012-104582,2012-04-08,2012-04-14,Customer148,P1,15,2012-04-29,2012-05-03
21,IND-2012-104583,2012-04-08,2012-04-12,Customer52,P4,60,2012-06-11,2012-06-11
22,IND-2012-104584,2012-04-08,2012-04-15,Customer87,P1,15,2012-04-30,2012-04-26
23,IND-2012-104585,2012-04-09,2012-04-17,Customer44,P2,30,2012-05-17,2012-05-18
24,IND-2012-104586,2012-04-09,2012-04-11,Customer158,P1,15,2012-04-26,2012-04-22
25,IND-2012-104587,2012-04-09,2012-04-15,Customer226,P4,60,2012-06-14,2012-06-10
26,IND-2012-104588,2012-04-10,2012-04-14,Customer88,P3,45,2012-05-29,2012-05-28
27,IND-2012-104589,2012-04-10,2012-04-12,Customer87,P1,15,2012-04-27,2012-04-27
28,IND-2012-104590,2012-04-10,2012-04-14,Customer223,P1,15,2012-04-29,2012-04-30
29,IND-2012-104591,2012-04-11,2012-04-15,Customer85,P1,15,2012-04-30,2012-04-25
